,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
3371,泥中之蓮,[],でいちゅうのはす,泥,1326,8,[' mud/slush/(wet) dirt/mire thief]'],['どろ'],"['氵', '匕', '尸']",['泥'],[7],['形声 Phonetic'],[2],[6089],[6075],['S'],中,16,4,"[' inside/interior/in among/within middle/center/centre during/while/middle/midst/amid interval/gap mean/average second (of three, e.g. sons, volumes)/middle medium grade/medium quality red-light district,', "" inside/within while (e.g. one is young)/during/within (e.g. a day)/in the course of among/amongst/(out) of/between in (secret, chaos, poverty, etc.)/amidst/with (e.g. success) within oneself/one's feelings/inner thoughts we/our company/our organization one's home/one's family my spouse/my husband/my wife signed on behalf of (husband's name) by his wife 10. I/me 11. imperial palace grounds 12. emperor,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of/of the,', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']","['｜', '口']",['中'],[1],['象形 Pictographic'],[5],[1327113],[846645],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,蓮,2056,13,[' sacred lotus (Nelumbo nucifera)/Indian lotus/lotus rose of Sharon (Hibiscus syriacus)]'],['はす'],"['辶', '車', '⺾']",,,,,,,,泥中,[' in the mud or mire]'],['でいちゅう'],泥中,[' in the mud or mire]'],['でいちゅう']
3372,甘井先竭,[],かんせいせんけつ,甘,1566,5,[],[],['甘'],['甘'],[7],['象形 Pictographic'],[2],[18128],[16866],['R'],井,42,4,"[' well,', ' well curb Chinese ""Well"" constellation (one of the 28 mansions)]']","['い', 'せい']","['｜', 'ノ', '一', '二', '井']",['井'],[7],['象形 Pictographic'],[1],[234115],[9355],['S'],先,173,6,"[' a short while ago/a moment ago/just now/some time ago,', ' point/tip/end/nozzle head (of a line)/front first/before/ahead (of) (the way) ahead/beyond future previous/prior/former/recent/last destination rest (e.g. of a story)/continuation/remaining part the other party,', ' former/previous/old first move (in go, shogi, etc.)/opening move]']","['さっき', 'さき', 'せん']","['ノ', '土', '儿']",['先'],[1],['会意 Com. Ideographic'],[5],[350771],[349259],['R'],竭,1757,14,[],[],"['日', '立', '勹', '匕']",,,,,,,,甘井,[' well with good-tasting water]'],['かんせい'],甘井,[' well with good-tasting water]'],['かんせい']
3373,涸轍鮒魚,[],こてつのふぎょ,涸,1360,11,[],[],"['口', '十', '氵', '囗']",,,,,,,,轍,2368,19,[' rut/wheel track/furrow]'],['わだち'],"['月', '車', '亠', '厶', '攵']",,,,,,,,鮒,2690,16,[' crucian carp (Carassius spp.)]'],['ふな'],"['⺅', '魚', '寸', '田', '灬']",,,,,,,,魚,2686,11,[' fish]'],['さかな'],"['魚', '田', '灬']",['魚'],[2],['象形 Pictographic'],[4],[17300],[14588],['S'],涸轍,[],[],涸轍,[],[]
3375,按兵不動,[],あんぺいふどう,按,961,9,[],[],"['女', '宀', '扌']",,,,,,,,兵,189,7,"[' war/battle/campaign/fight troops/forces,', ' (common) soldier/rank and file army/troops warfare/strategy,', ' warrior/soldier courageous person/strong person,', ' pawn]']","['いくさ', 'へい', 'つわもの', 'ひょう']","['一', '斤', 'ハ']",['兵'],[4],['会意 Com. Ideographic'],[2],[90710],[63695],['P'],不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R'],動,267,11,[' motion]'],['どう'],"['｜', '一', '日', '力', '里']",['動'],[3],['形声 Phonetic'],[4],[420292],[391265],['P'],按兵,[],[],按兵,[],[]
3377,百薬之長,[],ひゃくやくのちょう,百,1614,6,"['[ひゃく (１００', ' 100/hundred]']",['ひゃく'],"['一', '白']",['百'],[1],['指事 Ideographic'],[5],[59480],[50835],['R'],薬,2072,16,"[' medicine/pharmaceuticals/(legal) drugs/pill/ointment/salve efficacious chemical (gunpowder, pesticide, etc.) (pottery) glaze (illegal) drug/narcotic small bribe,', ' dope/narcotic/drug]']","['くすり', 'やく']","['日', '木', '冫', '⺾']",['薬'],[3],['形声 Phonetic'],[3],[64142],[58237],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,長,2497,8,"[' height/stature length (esp. of clothing) all (one has)/everything magnificence (of a waka poem, etc.),', ' head/chief/leader/elder merit/strong point superiority major,', ' office/official chief/head (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it is to officiate at religions ceremonies,', ' head/chief/leader/elder the greatest of all/the most excellent,', ' long]']","['たけ', 'ちょう', 'つかさ', 'おさ', 'なが']",['長'],['長'],[2],['象形 Pictographic'],[5],[961902],[863456],['S'],百薬,[' sundry remedies]'],['ひゃくやく'],百薬,[' sundry remedies]'],['ひゃくやく']
3378,風樹之嘆,[],ふうじゅのたん,風,2623,9,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']","['風', '冂', '虫', 'ノ']",['風'],[2],['形声 Phonetic'],[4],[98812],[95284],['S'],樹,1241,16,[' tree/shrub/bush wood/timber]'],['き'],"['口', '寸', '土', '豆', '并', '木']",['樹'],[6],['形声 Phonetic'],[1],[51575],[17317],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,嘆,416,13,[' sigh grief/lamentation]'],['たん'],"['ノ', '一', '口', '⺾']",['嘆'],[7],['形声 Phonetic'],[1],[5929],[5929],['S'],風樹,"["" tree swayed by the wind thinking about one's deceased parents]""]",['ふうじゅ'],風樹,"["" tree swayed by the wind thinking about one's deceased parents]""]",['ふうじゅ']
3379,舐犢之愛,[],しとくのあい,舐,1989,10,"["" lick bottom card of the draw pile tasting (a nobleman's) medicine to see if it contains poison/medicine taster]""]","['なめ', 'め']","['口', '氏', '舌']",,,,,,,,犢,1508,19,[' calf/small cow]'],['こうし'],"['貝', '目', 'ハ', '牛', '士', '儿', '囗']",,,,,,,,之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,愛,863,13,"[' love/affection/care attachment/craving/desire agape Ireland,', ' beloved/dear]']","['あい', 'まな']","['心', '爪', '冖', '夂']",['愛'],[4],['会意 Com. Ideographic'],[3],[94602],[50443],['R'],舐犢,[],[],舐犢,[],[]
3380,蟷螂之斧,[],とうろうのおの,蟷,2117,19,[],[],"['口', '⺌', '虫', '田', '冖']",,,,,,,,螂,2111,16,[],[],"['艮', '虫', '⻏']",,,,,,,,之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,斧,1061,8,"[' axe/hatchet,', ' hatchet]']","['おの', 'よき']","['斤', '父']",,,,,,,,蟷螂,"[' praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)]']",['かまきり'],蟷螂,"[' praying mantis (esp. the narrow-winged mantis, Tenodera angustipennis)]']",['かまきり']
3381,屠所之羊,[],としょのひつじ,屠,654,11,[],[],"['日', '⺹', '尸']",,,,,,,,所,916,8,"["" place/spot/scene/site address district/area/locality one's house point/aspect/side/facet passage (in text)/part space/room thing/matter whereupon/as a result 10. about to/on the verge of 11. was just doing/was in the process of doing/have just done/just finished doing,"", ' counter for places]']","['ところ', 'しょ']","['斤', '戸', '一', '尸']",['所'],[3],['会意 Com. Ideographic'],[3],[348762],[332553],['P'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,羊,1892,6,[' sheep (Ovis aries)]'],['ひつじ'],"['王', '并', '羊']",['羊'],[3],['象形 Pictographic'],[1],[2775],[2642],['S'],屠所,[' abattoir/slaughterhouse]'],['としょ'],屠所,[' abattoir/slaughterhouse]'],['としょ']
3382,君側之悪,[],くんそくのあく,君,349,7,"["" you/buddy/pal monarch/ruler/sovereign/(one's) master,"", ' Mr (junior)/master/boy,', "" suffix appended to somebody else's family members,"", ' you]']","['きみ', 'くん', 'ぎみ', 'きんじ']","['一', '口', 'ノ']",['君'],[3],['会意 Com. Ideographic'],[3],[26134],[23196],['P'],側,141,11,"[' near/close/beside/vicinity/proximity/besides/while third person,', "" side (of something, or taking someone's side)/part (watch) case,"", ' side/edge/beside/besides/nearby while (doing)/in addition to/at the same time,', ' first principle of the Eight Principles of Yong/tiny dash or speck]']","['そば', 'がわ', 'かたわら', 'ら', 'そく']","['⺅', '貝', '目', 'ハ', '刂']",['側'],[4],['形声 Phonetic'],[3],[155653],[155635],['P'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,悪,843,11,"[' evil/wickedness (role of) the villain (in theatre, etc.)/the bad guy,', ' wicked person/evil person/scoundrel/bad guy/bad child/naughty child bad thing/mischief]']","['あく', 'わる']","['｜', '一', '口', '心']",['悪'],[3],['形声 Phonetic'],[4],[91570],[91516],['R'],君側,[' proximity of a monarch or lord]'],['くんそく'],君側,[' proximity of a monarch or lord]'],['くんそく']
3383,阿吽之息,[],あうんのいき,阿,2517,8,"[' corner/nook/recess shade/shadow/dark area dark circles (under the eyes)/dark rings shading/gradation kumadori/style of kabuki makeup used for violent roles,', ' first Sanskrit alphabet letter Africa Awa (old province of Japan) prefixed to names to show intimacy]']","['くま', 'あ']","['一', '口', '亅', '⻖']",,,,,,,,吽,356,7,[],[],"['｜', '牛', '口', '二']",,,,,,,,之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,息,827,10,"[' breath/breathing tone/mood,', ' son penis,', ' son interest (on a loan, deposit, etc.)]']","['いき', 'むすこ', 'そく']","['自', '心']",['息'],[3],['会意 Com. Ideographic'],[3],[41044],[41036],['P'],阿吽,"[' Om/Aun/syllable representing the primordial trinity of Vishnu, Shiva and Brahma inspiration and expiration/respiration/alpha and omega]']",['あうん'],阿吽,"[' Om/Aun/syllable representing the primordial trinity of Vishnu, Shiva and Brahma inspiration and expiration/respiration/alpha and omega]']",['あうん']
3384,累卵之危,[],るいらんのき,累,1823,11,[' trouble/harmful effect/evil influence/implication/involvement]'],['るい'],"['糸', '幺', '小', '田']",['累'],[7],['形声 Phonetic'],[1],[3693],[3693],['R'],卵,304,7,"["" eggs/egg/spawn/roe (hen's) egg (an expert) in the making beginning/origin/infancy,"", ' egg/eggshell,', ' ovum/ovule/egg cell]']","['たまご', 'かい', 'らん']","['ノ', '卜', '丶', '卩']",['卵'],[6],['象形 Pictographic'],[2],[12096],[12096],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,危,301,6,"[' danger Chinese ""rooftop"" constellation (one of the 28 mansions)]']",['き'],"['勹', '厂', '卩']",['危'],[6],['形声 Phonetic'],[3],[72507],[72486],['R'],累卵,[' dangerous situation/perilous position pile of eggs]'],['るいらん'],累卵,[' dangerous situation/perilous position pile of eggs]'],['るいらん']
3385,隔世之感,[],かくせいのかん,隔,2540,13,[' every other/second/alternate]'],['かく'],"['一', '口', '儿', '冂', '⻖', '鬲']",['隔'],[7],['形声 Phonetic'],[1],[8796],[8796],['S'],世,12,5,"[' world/society/public life/lifetime age/era/period/epoch/generation reign/rule the times world (of existence),', ' counter for generations epoch]']","['よ', 'せい']","['｜', '一', '世']",['世'],[3],['象形 Pictographic'],[4],[356337],[337799],['P'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,感,864,13,[' feeling/sensation/emotion/admiration/impression interjection]'],['かん'],"['ノ', '口', '心', '戈']",['感'],[3],['形声 Phonetic'],[3],[269610],[269551],['S'],隔世,[' separation of ages/being of a different age]'],['かくせい'],隔世,[' separation of ages/being of a different age]'],['かくせい']
3386,犬猿之仲,[],けんえんのなか,犬,1509,4,[' dog (Canis (lupus) familiaris) squealer/rat/snitch/informer/informant/spy loser/asshole counterfeit/inferior/useless/wasteful]'],['いぬ'],"['犬', '大', '丶']",['犬'],[1],['象形 Pictographic'],[4],[19546],[17022],['P'],猿,1533,13,"[' monkey (esp. the Japanese macaque, Macaca fuscata)/ape/non-human primate sly person idiot/hick sliding wooden bolt (for holding a door or window shut) clasp used to control the height of a pot-hook bathhouse prostitute,', ' monkey (esp. the Japanese macaque, Macaca fuscata)/ape/non-human primate]']","['さる', 'ましら']","['衣', '口', '土', '犭']",['猿'],[7],['形声 Phonetic'],[1],[3338],[1757],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,仲,66,6,"[' relation/relationship,', ' broker/brokerage/brokerage fee]']","['なか', 'すあい']","['｜', '⺅', '口']",['仲'],[4],['形声 Phonetic'],[2],[42150],[27518],['S'],犬猿,[' cats and dogs (as an example of a bad relationship)/dogs and monkeys]'],['けんえん'],犬猿,[' cats and dogs (as an example of a bad relationship)/dogs and monkeys]'],['けんえん']
3387,鴛鴦之契,[],えんおうのちぎり,鴛,2708,16,[],[],"['鳥', '夕', '卩', '灬']",,,,,,,,鴦,2709,16,[],[],"['大', '鳥', '灬']",,,,,,,,之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,契,525,9,[],[],"['大', '土', '刀', '亠']",['契'],[7],['会意 Com. Ideographic'],[1],[42071],[42070],['.'],鴛鴦,[' mandarin duck (Aix galericulata)]'],['おしどり'],鴛鴦,[' mandarin duck (Aix galericulata)]'],['おしどり']
3388,惻隠之心,[],そくいんのこころ,惻,857,12,[],[],"['貝', '目', 'ハ', '刂', '忄']",,,,,,,,隠,2545,14,[],[],"['ノ', 'ヨ', '⺌', '心', '⻖']",['隠'],[7],['形声 Phonetic'],[1],[30520],[29893],['R'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,心,787,4,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind/spirit/vitality/inner strength bottom of one\'s heart/core (of one\'s character)/nature centre/center/core/heart heart (organ) Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",['心'],['心'],[2],['象形 Pictographic'],[4],[258654],[256954],['P'],惻隠,[' compassion/pity]'],['そくいん'],惻隠,[' compassion/pity]'],['そくいん']
3389,金石之交,[],きんせきのまじわり,金,2461,8,"[' money metal,', ' gold (Au)/golden (color)/gold (medal, cup) valuable/of highest value money/gold coin Friday metal (fourth of the five elements) Jin dynasty (China, 1115-1234)/Chin dynasty/Jurchen dynasty gold general testicles karat/carat,', ' gold gold coin gold colour (color)]']","['かね', 'きん', 'こがね']",['金'],['金'],[1],['象形 Pictographic'],[5],[589350],[516324],['S'],石,1667,5,"[' stone jewel/precious stone flint (in a lighter) stone (in go) stone (in the bladder, kidney etc.)/calculus rock (in rock-paper-scissors)/stone,', "" koku/traditional unit of volume, approx. 180.4 litres measure of a Japanese-style boat's loading capacity (approx. 278.26 liters),"", ' counter for jewels in a watch counter for transistors, diodes, etc. in an electronic product]']","['いし', 'こく', 'せき']","['口', '石']",['石'],[1],['会意 Com. Ideographic'],[3],[156574],[59831],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,交,45,6,"[' alternately/in succession,', ' association/fellowship change (of season, year, etc.)]']","['こもごも', 'こう']","['父', '亠']",['交'],[2],['象形 Pictographic'],[3],[364208],[354159],['R'],金石,[' minerals and rocks/metal and stone utensils epigraph]'],['きんせき'],金石,[' minerals and rocks/metal and stone utensils epigraph]'],['きんせき']
3390,冥冥之志,[],めいめいのこころざし,冥,201,10,[],[],"['日', 'ハ', '亠', '冖']",['冥'],[7],['象形 Pictographic'],[0],[1680],[1680],['R'],冥,201,10,[],[],"['日', 'ハ', '亠', '冖']",['冥'],[7],['象形 Pictographic'],[0],[1680],[1680],['R'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,志,791,7,[' will/resolution/intention/ambition/aim/goal kindness/goodwill/kind offer gift (as a token of gratitude)]'],['こころざし'],"['士', '心']",['志'],[5],['形声 Phonetic'],[1],[68688],[29164],['S'],冥冥,[' dark/invisible]'],['めいめい'],冥冥,[' dark/invisible]'],['めいめい']
3391,傾危之士,[],けいきのし,傾,155,13,[' slanting/tilted/sloping/diagonal/oblique distorted (feeling)/slanted (e.g. view of the world)/bad (mood)/amiss/awry]'],"['ななめ', 'め']","['⺅', '貝', '目', 'ハ', '頁', '匕']",['傾'],[7],['形声 Phonetic'],[2],[24307],[24299],['S'],危,301,6,"[' danger Chinese ""rooftop"" constellation (one of the 28 mansions)]']",['き'],"['勹', '厂', '卩']",['危'],[6],['形声 Phonetic'],[3],[72507],[72486],['R'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,士,500,3,"[' warrior (esp. of military retainers of daimyos in the Edo period)/samurai man in attendance (on a person of high standing)/retainer,', ' man (esp. one who is well-respected) samurai person (in a certain profession, esp. licensed)/member]']","['さむらい', 'し']",['士'],['士'],[4],['象形 Pictographic'],[1],[143794],[101506],['P'],傾危,[],[],傾危,[],[]
3392,屋烏之愛,[],おくうのあい,屋,646,9,"[' (something) shop somebody who sells (something) or works as (something) somebody with a (certain) personality trait house roof,', ' house/building roof]']","['や', 'おく']","['至', '土', '厶', '尸']",['屋'],[3],['会意 Com. Ideographic'],[4],[118824],[61444],['P'],烏,1459,10,[' crow (Corvus spp.)/raven]'],['からす'],"['鳥', '灬']",,,,,,,,之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,愛,863,13,"[' love/affection/care attachment/craving/desire agape Ireland,', ' beloved/dear]']","['あい', 'まな']","['心', '爪', '冖', '夂']",['愛'],[4],['会意 Com. Ideographic'],[3],[94602],[50443],['R'],屋烏,[],[],屋烏,[],[]
3393,記問之学,[],きもんのがく,記,2187,10,[' account/history/chronicle/annals/record Kojiki/Records of Ancient Matters]'],['き'],"['言', '已']",['記'],[2],['形声 Phonetic'],[3],[325687],[320434],['P'],問,397,11,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']","['口', '門']",['問'],[3],['会意 Com. Ideographic'],[4],[433896],[433569],['P'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,学,577,8,[' learning/scholarship/study/erudition/knowledge/education study of .../-ology/-ics]'],['がく'],"['子', '⺌', '冖']",['学'],[1],['会意 Com. Ideographic'],[5],[634688],[569326],['P'],記問,[],[],記問,[],[]
3394,口耳之学,[],こうじのがく,口,327,3,"[' mouth opening/hole/gap/orifice mouth (of a bottle)/spout/nozzle/mouthpiece gate/door/entrance/exit speaking/speech/talk (i.e. gossip) taste/palate mouth (to feed) opening (i.e. vacancy)/available position invitation/summons 10. kind/sort/type 11. opening (i.e. beginning) 12. counter for mouthfuls, shares (of money), and swords,', ' mouth/speech counter for people or implements]']","['くち', 'く']","['囗', '口']",['口'],[1],['象形 Pictographic'],[4],[200300],[113613],['S'],耳,1919,6,[' ear hearing edge/crust selvedge (non-fray machined edge of fabrics)/selvage]'],['みみ'],['耳'],['耳'],[1],['象形 Pictographic'],[3],[13234],[13189],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,学,577,8,[' learning/scholarship/study/erudition/knowledge/education study of .../-ology/-ics]'],['がく'],"['子', '⺌', '冖']",['学'],[1],['会意 Com. Ideographic'],[5],[634688],[569326],['P'],口耳,[' mouth and ear]'],['こうじ'],口耳,[' mouth and ear]'],['こうじ']
3395,盈満之咎,[],えいまんのとが,盈,1623,9,[],[],"['ノ', '一', '皿', '又']",,,,,,,,満,1395,12,"[' being full (counting) completed years (e.g. when calculating age) full (years, months, etc.) Manchuria]']",['まん'],"['｜', '一', '氵', '二', '冂', '山']",['満'],[4],['形声 Phonetic'],[3],[85439],[76938],['R'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,咎,373,8,[' error/mistake/fault sin/wrongdoing/offense]'],['とが'],"['口', '人', '夂']",,,,,,,,盈満,[],[],盈満,[],[]
3396,秘中之秘,[],ひちゅうのひ,秘,1713,10,[' secret/mystery]'],['ひ'],"['ノ', '禾', '心', '丶']",['秘'],[6],['形声 Phonetic'],[1],[37453],[37453],['R'],中,16,4,"[' inside/interior/in among/within middle/center/centre during/while/middle/midst/amid interval/gap mean/average second (of three, e.g. sons, volumes)/middle medium grade/medium quality red-light district,', "" inside/within while (e.g. one is young)/during/within (e.g. a day)/in the course of among/amongst/(out) of/between in (secret, chaos, poverty, etc.)/amidst/with (e.g. success) within oneself/one's feelings/inner thoughts we/our company/our organization one's home/one's family my spouse/my husband/my wife signed on behalf of (husband's name) by his wife 10. I/me 11. imperial palace grounds 12. emperor,"", ' medium/average/middle moderation middle school China volume two (of three) during (a certain time when one did or is doing something)/under (construction, etc.)/while in/out of/of the,', ' through/throughout/in the course of all over or throughout (e.g. a place), チュン', ' red dragon tile winning hand with a pung (or kong) of red dragon tiles]']","['なか', 'うち', 'ちゅう', 'じゅう']","['｜', '口']",['中'],[1],['象形 Pictographic'],[5],[1327113],[846645],['S'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,秘,1713,10,[' secret/mystery]'],['ひ'],"['ノ', '禾', '心', '丶']",['秘'],[6],['形声 Phonetic'],[1],[37453],[37453],['R'],秘中,[' in secret]'],['ひちゅう'],秘中,[' in secret]'],['ひちゅう']
3397,狗馬之心,[],くばのこころ,狗,1515,8,"[' dog (Canis (lupus) familiaris) squealer/rat/snitch/informer/informant/spy loser/asshole counterfeit/inferior/useless/wasteful,', ' puppy]']","['いぬ', 'えのこ']","['口', '犭', '勹']",,,,,,,,馬,2645,10,[' horse horse racing promoted bishop]'],['うま'],['馬'],['馬'],[2],['象形 Pictographic'],[3],[131850],[91370],['P'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,心,787,4,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind/spirit/vitality/inner strength bottom of one\'s heart/core (of one\'s character)/nature centre/center/core/heart heart (organ) Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",['心'],['心'],[2],['象形 Pictographic'],[4],[258654],[256954],['P'],狗馬,[],[],狗馬,[],[]
3398,莫逆之友,[],ばくぎゃくのとも,莫,2025,10,[' must not/may not]'],['まな'],"['大', '日', '⺾']",,,,,,,,逆,2394,9,"[' reverse/opposite converse (of a hypothesis, etc.) inverse (function),', ' inverse/reverse]']","['ぎゃく', 'さか']","['辶', '并', '屮']",['逆'],[5],['形声 Phonetic'],[2],[53169],[53103],['R'],之,22,3,"[' this/this one this person now/this point (in time) here used to stress the subject of a sentence I/me,', "" 's/of/belonging to]""]","['これ', 'れ', 'の']","['乙', '丶', '亠', '廴']",,,,,,,,友,318,4,"[' friend/companion/comrade/pal accompaniment/companion (e.g. book)/complement/accessory,', ' friend affection (for siblings)]']","['とも', 'ゆう']","['ノ', '一', '又']",['友'],[2],['会意 Com. Ideographic'],[5],[73292],[42506],['S'],莫逆,[' cordial relations]'],['ばくぎゃく'],莫逆,[' cordial relations]'],['ばくぎゃく']
