,yoji,j1,j1_Meanings,j1_Readings,j2,j2_Meanings,j2_Readings,j3,j3_Meanings,j3_Readings,j4,j4_Meanings,j4_Readings,j12,j12_Meanings,j12_Readings,j34,j34_Meanings,j34_Readings
77,之友之心,之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",友,[' friend/companion/comrade/pal]'],['とも'],之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",心,"[' mind/heart/spirit the meaning of a phrase (riddle, etc.),', ' heart/mind spirit/vitality/inner strength Chinese ""Heart"" constellation (one of the 28 mansions) friend]']","['こころ', 'しん']",之友,[],[],之心,[],[]
78,千万虎踞,千,"[' 1,000/thousand]']",['せん'],万,"[' many/all,', ' 10,000/ten thousand myriad everything/all various]']","['ばん', 'まん']",虎,[' tiger (Panthera tigris) drunkard/drunk/sot]'],['とら'],踞,[],[],千万,"[' exceedingly/very many/very much/indeed/a great many,', ' 10,000,000/ten million/myriad]']","['せんばん', 'せんまん']",虎踞,[],[]
79,弁護無比,弁,[' speech/tongue/talk/eloquence dialect/brogue/accent bento/Japanese box lunch petal valve Oversight Department/division of the daijokan under the ritsuryo system responsible for controlling central and provincial governmental offices]'],['べん'],護,[],[],無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",比,"[' ratio/proportion match/equal explicit comparison (style of the Shi Jing) Philippines in comparison with ...,', ' (approximate) time/around/about/toward suitable time (or condition) time of year/season,', ' kind/sort/type equal/match/peer,', ' time/period/days]']","['ひ', 'ころ', 'たぐい', 'い', 'ころおい', 'おい']",弁護,[' defense/defence/pleading/advocacy]'],['べんご'],無比,[' peerless/unparalleled/unparallelled]'],['むひ']
80,一善独行,一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",善,[' good/goodness/right/virtue]'],['ぜん'],独,[' Germany]'],['どく'],行,"[' line (i.e. of text)/row/verse carya (austerities) samskara (formations) running script (a semi-cursive style of kanji),', ' going/travelling (traveling) type of classical Chinese verse (usu. an epic) district (of similar merchants)/guild bank]']","['ぎょう', 'こう']",一善,[],[],独行,[' going alone/self-reliance]'],['どっこう']
81,不明無双,不,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']",明,"[' vidya (wisdom) mantra the coming (4th of July, etc.),', ' brightness clarity/acumen power of vision,', ' Ming (dynasty of China, 1368-1644),', ' clearly/brightly cleanly/purely]']","['みょう', 'めい', 'みん', 'さや']",無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",双,"[' pair,', ' both many/various/all together]']","['そう', 'もろ']",不明,[' unclear/obscure/indistinct/uncertain/ambiguous unknown/unidentified ignorance/lack of wisdom/lack of insight]'],['ふめい'],無双,[' peerless/unparalleled/unparallelled/matchless]'],['むそう']
82,意識小廉,意,[' feelings/thoughts meaning]'],['い'],識,[' acquaintanceship vijnana/consciousness written by...]'],['しき'],小,"[' smallness/small item short month (i.e. having fewer than 31 days) elementary school younger or inferior (of two items or people with the same name) unit of field area (approx. 400 sq m),', ' small/little/slight slightly less than/just about somewhat/somehow minor (sometimes derogatory)/petty,', ' small/narrow familiar prefix slightly/a bit,', ' small/little, ぐゎー', ' small/little/dear (figurative sense),', ' narrow/thin]']","['しょう', 'こ', 'お', 'ささ', 'ぐゎ', 'さ']",廉,"[' charge/grounds/suspicion,', ' cheap/inexpensive]']","['かど', 'れん']",意識,"[' consciousness awareness/sense mano-vijnana (mental consciousness, cognizer of sensory information)]']",['いしき'],小廉,[],[]
83,夢死無双,夢,[' dream]'],['ゆめ'],死,[' death/decease death penalty (by strangulation or decapitation) (an) out]'],['し'],無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",双,"[' pair,', ' both many/various/all together]']","['そう', 'もろ']",夢死,[],[],無双,[' peerless/unparalleled/unparallelled/matchless]'],['むそう']
84,之才永劫,之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",才,[' -years-old ability/gift/talent/aptitude/genius]'],['さい'],永,"[' eternity/perpetuity/immortality Eikyuu era (1113.7.13-1118.4.3),', ' long]']","['えいきゅう', 'なが']",劫,"[' kalpa (eon, aeon) ko (in go)/position that allows for eternal capture and recapture of the same stones]']",['こう'],之才,[],[],永劫,[' eternity/perpetuity]'],['えいごう']
85,一徹役者,一,"[' one best first/foremost beginning/start bottom string (on a shamisen, etc.),', ' one for one thing only (not) even just (e.g. ""just try it""), イー', ' one,', ' most,', ' one one]']","['いち', 'ひとつ', 'つ', 'いっち', 'ひと']",徹,[],[],役,"[' war/campaign/battle unpaid work (ritsuryo system)/forced labor,', ' use/service/role post/position scoring combination (e.g. in mahjong, card games, etc.)/hand]']","['えき', 'やく']",者,"[' person,', ' someone of that nature/someone doing that work]']","['もの', 'しゃ']",一徹,[' obstinate/stubborn/inflexible]'],['いってつ'],役者,[' actor/actress]'],['やくしゃ']
86,之地戦術,之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",戦,"[' war/battle/campaign/fight troops/forces,', ' war/battle match/competition]']","['いくさ', 'せん']",術,"[' art/technique means/way trick/trap/plot/stratagem magic,', ' way/method/means]']","['じゅつ', 'すべ']",之地,[],[],戦術,[' tactics]'],['せんじゅつ']
87,酒肴加鞭,酒,[' alcohol/sake]'],['さけ'],肴,[' appetizer or snack served with drinks performance to liven up a bar/conversation to liven up a party]'],['さかな'],加,[' addition/increase Canada]'],['か'],鞭,[' whip/lash/scourge stick/cane/rod/pointer]'],['むち'],酒肴,[' food and drink]'],['しゅこう'],加鞭,[],[]
88,見舞貧乏,見,"[' looking/viewing,', ' view (of life, etc.)/outlook]']","['み', 'けん']",舞,[' dancing/dance]'],['まい'],貧,[' poverty/becoming poor/living in poverty]'],['ひん'],乏,[],[],見舞,[' visiting ill or distressed people/writing get-well letters get-well gifts/get-well letters expression of sympathy/expression of concern/enquiry/inquiry]'],"['みまい', 'い']",貧乏,[' poverty/destitute/poor]'],['びんぼう']
89,歓喜意馬,歓,[' joy/enjoyment/delight/pleasure]'],['かん'],喜,[],[],意,[' feelings/thoughts meaning]'],['い'],馬,[' horse horse racing promoted bishop]'],['うま'],歓喜,[' delight/great joy]'],['かんき'],意馬,[' uncontrolled]'],['いば']
90,八極松柏,八,"[' eight, パー', ' eight]']",['はち'],極,"[' quite/very 10^48/quindecillion,', ' pole climax/extreme/extremity/culmination/height/zenith/nadir,', ' end/limit/extremity]']","['ごく', 'きょく', 'はたて', 'たて']",松,[' pine tree (Pinus spp.) highest (of a three-tier ranking system)]'],['まつ'],柏,[' oak/daimyo oak/Japanese emperor oak/Quercus dentata]'],['かしわ'],八極,[],[],松柏,[' evergreen tree/conifer/coniferous tree pine and cypress duty/constancy/faithfulness]'],['しょうはく']
91,過情明白,過,[' surplus- (attaches to start of Sino-Japanese words)/excess-/over- per- (chemical with more of a certain element than found in other compounds of the same constituents)]'],['か'],情,[' feelings/emotion/sentiment compassion/sympathy passion/affection/love the way things really are/the actual situation]'],['じょう'],明,"[' vidya (wisdom) mantra the coming (4th of July, etc.),', ' brightness clarity/acumen power of vision,', ' Ming (dynasty of China, 1368-1644),', ' clearly/brightly cleanly/purely]']","['みょう', 'めい', 'みん', 'さや']",白,"[' white innocence/innocent person blank space white go stone white dragon tile skewered grilled pig intestine,', ' white unseasoned/undyed/unaltered very much/precisely playing dumb unfeigned/honest/diligent,', "" white striped mullet fry (Mugil cephalus) speech/one's lines white dragon tile winning hand with a pung (or kong) of white dragon tiles white person/Caucasian Belgium]""]","['しろ', 'しら', 'はく']",過情,[],[],明白,"[' obvious/clear/plain/evident/apparent/explicit/overt,', ' plain/frank/candid/open/direct/straightforward/unabashed/blatant/flagrant]']","['めいはく', 'あからさま']"
92,鳴動問題,鳴,[],[],動,[' motion/change/confusion]'],['どう'],問,"[' question/query,', ' counter for questions]']","['とい', 'い', 'もん']",題,[' title/subject/theme/topic problem (on a test)/question counter for questions (on a test)]'],['だい'],鳴動,[' rumbling/(ringing) cadence]'],['めいどう'],問題,"[' question (e.g. on a test)/problem problem (e.g. societal, political)/question/issue/subject (e.g. of research)/case/matter question (i.e. doubt) public discussion/controversy trouble/problem/inconvenience/difficulty]']",['もんだい']
93,義胆下手,義,[' morality/righteousness/justice/honour (honor) meaning teachings/doctrine nonconsanguineous relationship (i.e. of in-laws) prosthesis]'],['ぎ'],胆,[' liver/innards courage/spirit/pluck/guts crux/essential point]'],['きも'],下,"["" below/down/under/younger (e.g. daughter) bottom beneath/underneath just after/right after inferiority/one's inferior (i.e. one's junior) trade-in preliminary/preparatory,"", ' under (esp. influence or guidance),', ' lowness (of degree, value, etc.)/inferiority second volume (of two)/third volume (of three),', ' lower reaches (of a river) bottom/lower part lower half (of the body, esp. the privates)/feces (faeces)/urine/menses end/far from the imperial palace (i.e. far from Kyoto, esp. of western Japan) dirty (e.g. dirty jokes, etc.),', ' under (being in said condition or environment)]']","['した', 'もと', 'げ', 'しも', 'か']",手,"["" hand/arm forepaw/foreleg handle hand/worker/help trouble/care/effort means/way/trick/move/technique/workmanship hand/handwriting kind/type/sort one's hands/one's possession 10. ability to cope 11. hand (of cards) 12. direction 13. move (in go, shogi, etc.)]""]",['て'],義胆,[],[],下手,"["" humble position/inferior underarm grip on opponent's belt,"", "" lower part/foot/lower direction left part of the stage (audience's or camera's POV)/stage right (actor's POV),"", ' unskillful/poor/awkward imprudent/untactful]']","['したて', 'しもて', 'へた']"
94,生活進退,生,"[' pure/undiluted/raw/crude,', ' raw/uncooked/fresh natural/as it is/unedited/unprocessed unprotected (i.e. not wearing a condom) live (i.e. not recorded) inexperienced/unpolished/green/crude impudence/sauciness unpasteurized beer/draft beer/draught beer just a little/somehow/vaguely/partially/somewhat/half-/semi- irresponsibly/half-baked 10. cash 11. tipsiness,', ' innocent/naive/unsophisticated/inexperienced/green/wet behind the ears birth-,', ' life/living I/me/myself,', ' vital/virile/lively,', ' area of thick growth (of trees, grass, etc.),', ' boiled and half-dried bonito]']","['き', 'なま', 'うぶ', 'せい', 'いく', 'ふ', 'なまり', 'り']",活,[' living/life judo art of resuscitation action/activity]'],['かつ'],進,[],[],退,[],[],生活,"["" living/life (one's daily existence)/livelihood]""]",['せいかつ'],進退,[' movement/course of action/advance or retreat]'],['しんたい']
95,沙汰之郷,沙,"[' sand/grit gold dust/silver dust,', ' one hundred-millionth]']","['すな', 'しゃ']",汰,[],[],之,"["" this (indicating an item near the speaker, the action of the speaker, or the current topic) this person (usu. indicating someone in one's in-group) now here I (me) certainly,"", ' possessive particle]']","['これ', 'れ', 'の']",郷,"["" village/hamlet countryside/country home (of one's parents, etc.)/hometown one's origins/one's upbringing/one's past,"", ' hometown rural township (of China),', ' countryside/country 50-home township (comprised of 2-3 neighbourhoods)]']","['さと', 'きょう', 'ごう']",沙汰,[' affair/state/incident/issue/matter verdict/sentence directions/orders/command/instructions notice/information/communication/news/message/tidings/update]'],['さた'],之郷,[],[]
96,木皮半句,木,"[' tree/shrub/bush wood/timber,', ' Thursday wood (first of the five elements)]']","['き', 'もく']",皮,"["" skin/hide/pelt/fur rind/peel/husk/bark shell/sheath/wrapping mask (hiding one's true nature)/seeming]""]",['かわ'],半,[' half/semi- half-past odd number unit of land area (595.8 m^2)]'],['はん'],句,"[' section (i.e. of text)/sentence/passage/paragraph phrase verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry) haiku/first 17 morae of a renga, etc. maxim/saying/idiom/expression]']",['く'],木皮,[' tree bark]'],['もくひ'],半句,[' brief word]'],['はんく']
97,婦随後言,婦,"["" wife/bride (one's) daughter-in-law,"", ' married woman woman/lady]']","['よめ', 'ふ']",随,[],[],後,"["" behind/rear after/later after one's death remainder/the rest descendant/successor/heir more (e.g. five more minutes)/left also/in addition past/previous,"", "" later/afterwards/since future after one's death descendant,"", ' back/behind/rear,', ' buttocks/behind/rump/bottom undersurface/bottom last place/end consequence,', ' after]']","['あと', 'のち', 'うしろ', 'ろ', 'しり', 'ご']",言,[' word/remark/statement]'],['げん'],婦随,[],[],後言,[],[]
98,無双気質,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",双,"[' pair,', ' both many/various/all together]']","['そう', 'もろ']",気,"[' spirit/mind/heart nature/disposition motivation/intention mood/feelings ambience/atmosphere/mood,', ' seeming/giving the appearance of/giving one the feeling of,', ' -like nature/-like disposition/-ish temperament,', ' sign/indication/trace/touch/feeling somehow/for some reason/seeming to be]']","['き', 'げ', 'ぎ', 'け']",質,"[' quality/value nature/inherent quality/character logical quality,', ' quality/nature (of person),', ' collateral/pledge/pawned article]']","['しつ', 'たち', 'しち']",無双,[' peerless/unparalleled/unparallelled/matchless]'],['むそう'],気質,[' spirit/character/trait/temperament/turn of mind/disposition]'],['きしつ']
99,無垢動地,無,"[' nothing/naught/nought/nil/zero un-/non-,', ' un-/non- bad .../poor ...]']","['む', 'ぶ']",垢,"[' dirt/filth/grime account (e.g. online service),', ' klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)]']","['あか', 'く']",動,[' motion/change/confusion]'],['どう'],地,"[' earth/ground/land/soil place territory bottom (of a package, book, etc.) earth (one of the five elements),', ' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', "" ground/land/earth/soil the region in question/the local area skin texture/fabric/material/weave base/background one's true nature narrative (i.e. descriptive part of a story) real life/actuality (in the game of go) captured territory 10. noh chorus 11. (in Japanese dance) accompaniment music 12. (in Japanese music) basic phrase (usu. repetitive) 13. base part (of multiple shamisens)]""]","['ち', 'つち', 'じ']",無垢,[' purity]'],['むく'],動地,[],[]
